Norm,Agent1,Agent2,Agent1_Stance,Agent2_Stance,Status
"Regarding Healthcare Accessibility, it is proposed that this effort should not compromise personal freedoms.",Agent1,Agent2,disagree,disagree,defended
"Regarding Healthcare Accessibility, it is proposed that this effort should not compromise personal freedoms.",Agent1,Agent3,disagree,agree,attack
"Regarding Healthcare Accessibility, it is proposed that this effort should not compromise personal freedoms.",Agent2,Agent1,disagree,disagree,defended
"Regarding Healthcare Accessibility, it is proposed that this effort should not compromise personal freedoms.",Agent2,Agent3,disagree,agree,attack
"Regarding Healthcare Accessibility, it is proposed that this effort should not compromise personal freedoms.",Agent3,Agent1,agree,disagree,attack
"Regarding Healthcare Accessibility, it is proposed that this effort should not compromise personal freedoms.",Agent3,Agent2,agree,disagree,attack
"In the context of Healthcare Accessibility, the norm states that there must be strict regulations to prevent misuse.",Agent1,Agent2,agree,neutral,neutral
"In the context of Healthcare Accessibility, the norm states that there must be strict regulations to prevent misuse.",Agent1,Agent3,agree,disagree,attack
"In the context of Healthcare Accessibility, the norm states that there must be strict regulations to prevent misuse.",Agent2,Agent1,neutral,agree,neutral
"In the context of Healthcare Accessibility, the norm states that there must be strict regulations to prevent misuse.",Agent2,Agent3,neutral,disagree,neutral
"In the context of Healthcare Accessibility, the norm states that there must be strict regulations to prevent misuse.",Agent3,Agent1,disagree,agree,attack
"In the context of Healthcare Accessibility, the norm states that there must be strict regulations to prevent misuse.",Agent3,Agent2,disagree,neutral,neutral
"Regarding Space Exploration, it is proposed that everyone has equal access to the benefits of this effort.",Agent1,Agent2,disagree,agree,attack
"Regarding Space Exploration, it is proposed that everyone has equal access to the benefits of this effort.",Agent1,Agent3,disagree,disagree,defended
"Regarding Space Exploration, it is proposed that everyone has equal access to the benefits of this effort.",Agent2,Agent1,agree,disagree,attack
"Regarding Space Exploration, it is proposed that everyone has equal access to the benefits of this effort.",Agent2,Agent3,agree,disagree,attack
"Regarding Space Exploration, it is proposed that everyone has equal access to the benefits of this effort.",Agent3,Agent1,disagree,disagree,defended
"Regarding Space Exploration, it is proposed that everyone has equal access to the benefits of this effort.",Agent3,Agent2,disagree,agree,attack
A new rule in Artificial Intelligence suggests that governments must invest at least 50% of their budget into related technologies.,Agent1,Agent2,agree,disagree,attack
A new rule in Artificial Intelligence suggests that governments must invest at least 50% of their budget into related technologies.,Agent1,Agent3,agree,disagree,attack
A new rule in Artificial Intelligence suggests that governments must invest at least 50% of their budget into related technologies.,Agent2,Agent1,disagree,agree,attack
A new rule in Artificial Intelligence suggests that governments must invest at least 50% of their budget into related technologies.,Agent2,Agent3,disagree,disagree,defended
A new rule in Artificial Intelligence suggests that governments must invest at least 50% of their budget into related technologies.,Agent3,Agent1,disagree,agree,attack
A new rule in Artificial Intelligence suggests that governments must invest at least 50% of their budget into related technologies.,Agent3,Agent2,disagree,disagree,defended
A new rule in Data Privacy suggests that research must focus on ethical implications first.,Agent1,Agent2,agree,agree,defended
A new rule in Data Privacy suggests that research must focus on ethical implications first.,Agent1,Agent3,agree,disagree,attack
A new rule in Data Privacy suggests that research must focus on ethical implications first.,Agent2,Agent1,agree,agree,defended
A new rule in Data Privacy suggests that research must focus on ethical implications first.,Agent2,Agent3,agree,disagree,attack
A new rule in Data Privacy suggests that research must focus on ethical implications first.,Agent3,Agent1,disagree,agree,attack
A new rule in Data Privacy suggests that research must focus on ethical implications first.,Agent3,Agent2,disagree,agree,attack
A new rule in Animal Rights suggests that international cooperation is mandatory for success.,Agent1,Agent2,disagree,neutral,neutral
A new rule in Animal Rights suggests that international cooperation is mandatory for success.,Agent1,Agent3,disagree,neutral,neutral
A new rule in Animal Rights suggests that international cooperation is mandatory for success.,Agent2,Agent1,neutral,disagree,neutral
A new rule in Animal Rights suggests that international cooperation is mandatory for success.,Agent2,Agent3,neutral,neutral,neutral
A new rule in Animal Rights suggests that international cooperation is mandatory for success.,Agent3,Agent1,neutral,disagree,neutral
A new rule in Animal Rights suggests that international cooperation is mandatory for success.,Agent3,Agent2,neutral,neutral,neutral
A new rule in Space Exploration suggests that international cooperation is mandatory for success.,Agent1,Agent2,neutral,neutral,neutral
A new rule in Space Exploration suggests that international cooperation is mandatory for success.,Agent1,Agent3,neutral,disagree,neutral
A new rule in Space Exploration suggests that international cooperation is mandatory for success.,Agent2,Agent1,neutral,neutral,neutral
A new rule in Space Exploration suggests that international cooperation is mandatory for success.,Agent2,Agent3,neutral,disagree,neutral
A new rule in Space Exploration suggests that international cooperation is mandatory for success.,Agent3,Agent1,disagree,neutral,neutral
A new rule in Space Exploration suggests that international cooperation is mandatory for success.,Agent3,Agent2,disagree,neutral,neutral
A new rule in Freedom of Speech suggests that individuals should prioritize this issue over other social problems.,Agent1,Agent2,disagree,agree,attack
A new rule in Freedom of Speech suggests that individuals should prioritize this issue over other social problems.,Agent1,Agent3,disagree,agree,attack
A new rule in Freedom of Speech suggests that individuals should prioritize this issue over other social problems.,Agent2,Agent1,agree,disagree,attack
A new rule in Freedom of Speech suggests that individuals should prioritize this issue over other social problems.,Agent2,Agent3,agree,agree,defended
A new rule in Freedom of Speech suggests that individuals should prioritize this issue over other social problems.,Agent3,Agent1,agree,disagree,attack
A new rule in Freedom of Speech suggests that individuals should prioritize this issue over other social problems.,Agent3,Agent2,agree,agree,defended
"In the context of Renewable Energy, the norm states that research must focus on ethical implications first.",Agent1,Agent2,agree,agree,defended
"In the context of Renewable Energy, the norm states that research must focus on ethical implications first.",Agent1,Agent3,agree,disagree,attack
"In the context of Renewable Energy, the norm states that research must focus on ethical implications first.",Agent2,Agent1,agree,agree,defended
"In the context of Renewable Energy, the norm states that research must focus on ethical implications first.",Agent2,Agent3,agree,disagree,attack
"In the context of Renewable Energy, the norm states that research must focus on ethical implications first.",Agent3,Agent1,disagree,agree,attack
"In the context of Renewable Energy, the norm states that research must focus on ethical implications first.",Agent3,Agent2,disagree,agree,attack
"Regarding Data Privacy, it is proposed that communities are encouraged to take grassroots actions.",Agent1,Agent2,neutral,neutral,neutral
"Regarding Data Privacy, it is proposed that communities are encouraged to take grassroots actions.",Agent1,Agent3,neutral,disagree,neutral
"Regarding Data Privacy, it is proposed that communities are encouraged to take grassroots actions.",Agent2,Agent1,neutral,neutral,neutral
"Regarding Data Privacy, it is proposed that communities are encouraged to take grassroots actions.",Agent2,Agent3,neutral,disagree,neutral
"Regarding Data Privacy, it is proposed that communities are encouraged to take grassroots actions.",Agent3,Agent1,disagree,neutral,neutral
"Regarding Data Privacy, it is proposed that communities are encouraged to take grassroots actions.",Agent3,Agent2,disagree,neutral,neutral
"In the context of Data Privacy, the norm states that research must focus on ethical implications first.",Agent1,Agent2,disagree,agree,attack
"In the context of Data Privacy, the norm states that research must focus on ethical implications first.",Agent1,Agent3,disagree,neutral,neutral
"In the context of Data Privacy, the norm states that research must focus on ethical implications first.",Agent2,Agent1,agree,disagree,attack
"In the context of Data Privacy, the norm states that research must focus on ethical implications first.",Agent2,Agent3,agree,neutral,neutral
"In the context of Data Privacy, the norm states that research must focus on ethical implications first.",Agent3,Agent1,neutral,disagree,neutral
"In the context of Data Privacy, the norm states that research must focus on ethical implications first.",Agent3,Agent2,neutral,agree,neutral
"Regarding Data Privacy, it is proposed that individuals should prioritize this issue over other social problems.",Agent1,Agent2,neutral,agree,neutral
"Regarding Data Privacy, it is proposed that individuals should prioritize this issue over other social problems.",Agent1,Agent3,neutral,disagree,neutral
"Regarding Data Privacy, it is proposed that individuals should prioritize this issue over other social problems.",Agent2,Agent1,agree,neutral,neutral
"Regarding Data Privacy, it is proposed that individuals should prioritize this issue over other social problems.",Agent2,Agent3,agree,disagree,attack
"Regarding Data Privacy, it is proposed that individuals should prioritize this issue over other social problems.",Agent3,Agent1,disagree,neutral,neutral
"Regarding Data Privacy, it is proposed that individuals should prioritize this issue over other social problems.",Agent3,Agent2,disagree,agree,attack
"In the context of Space Exploration, the norm states that governments must invest at least 50% of their budget into related technologies.",Agent1,Agent2,disagree,disagree,defended
"In the context of Space Exploration, the norm states that governments must invest at least 50% of their budget into related technologies.",Agent1,Agent3,disagree,disagree,defended
"In the context of Space Exploration, the norm states that governments must invest at least 50% of their budget into related technologies.",Agent2,Agent1,disagree,disagree,defended
"In the context of Space Exploration, the norm states that governments must invest at least 50% of their budget into related technologies.",Agent2,Agent3,disagree,disagree,defended
"In the context of Space Exploration, the norm states that governments must invest at least 50% of their budget into related technologies.",Agent3,Agent1,disagree,disagree,defended
"In the context of Space Exploration, the norm states that governments must invest at least 50% of their budget into related technologies.",Agent3,Agent2,disagree,disagree,defended
A new rule in Artificial Intelligence suggests that violators should face legal consequences for non-compliance.,Agent1,Agent2,agree,neutral,neutral
A new rule in Artificial Intelligence suggests that violators should face legal consequences for non-compliance.,Agent1,Agent3,agree,disagree,attack
A new rule in Artificial Intelligence suggests that violators should face legal consequences for non-compliance.,Agent2,Agent1,neutral,agree,neutral
A new rule in Artificial Intelligence suggests that violators should face legal consequences for non-compliance.,Agent2,Agent3,neutral,disagree,neutral
A new rule in Artificial Intelligence suggests that violators should face legal consequences for non-compliance.,Agent3,Agent1,disagree,agree,attack
A new rule in Artificial Intelligence suggests that violators should face legal consequences for non-compliance.,Agent3,Agent2,disagree,neutral,neutral
"Regarding Animal Rights, it is proposed that there must be strict regulations to prevent misuse.",Agent1,Agent2,neutral,neutral,neutral
"Regarding Animal Rights, it is proposed that there must be strict regulations to prevent misuse.",Agent1,Agent3,neutral,neutral,neutral
"Regarding Animal Rights, it is proposed that there must be strict regulations to prevent misuse.",Agent2,Agent1,neutral,neutral,neutral
"Regarding Animal Rights, it is proposed that there must be strict regulations to prevent misuse.",Agent2,Agent3,neutral,neutral,neutral
"Regarding Animal Rights, it is proposed that there must be strict regulations to prevent misuse.",Agent3,Agent1,neutral,neutral,neutral
"Regarding Animal Rights, it is proposed that there must be strict regulations to prevent misuse.",Agent3,Agent2,neutral,neutral,neutral
"Regarding Universal Basic Income, it is proposed that communities are encouraged to take grassroots actions.",Agent1,Agent2,disagree,neutral,neutral
"Regarding Universal Basic Income, it is proposed that communities are encouraged to take grassroots actions.",Agent1,Agent3,disagree,disagree,defended
"Regarding Universal Basic Income, it is proposed that communities are encouraged to take grassroots actions.",Agent2,Agent1,neutral,disagree,neutral
"Regarding Universal Basic Income, it is proposed that communities are encouraged to take grassroots actions.",Agent2,Agent3,neutral,disagree,neutral
"Regarding Universal Basic Income, it is proposed that communities are encouraged to take grassroots actions.",Agent3,Agent1,disagree,disagree,defended
"Regarding Universal Basic Income, it is proposed that communities are encouraged to take grassroots actions.",Agent3,Agent2,disagree,neutral,neutral
"Regarding Space Exploration, it is proposed that communities are encouraged to take grassroots actions.",Agent1,Agent2,agree,disagree,attack
"Regarding Space Exploration, it is proposed that communities are encouraged to take grassroots actions.",Agent1,Agent3,agree,disagree,attack
"Regarding Space Exploration, it is proposed that communities are encouraged to take grassroots actions.",Agent2,Agent1,disagree,agree,attack
"Regarding Space Exploration, it is proposed that communities are encouraged to take grassroots actions.",Agent2,Agent3,disagree,disagree,defended
"Regarding Space Exploration, it is proposed that communities are encouraged to take grassroots actions.",Agent3,Agent1,disagree,agree,attack
"Regarding Space Exploration, it is proposed that communities are encouraged to take grassroots actions.",Agent3,Agent2,disagree,disagree,defended
"Regarding Animal Rights, it is proposed that communities are encouraged to take grassroots actions.",Agent1,Agent2,neutral,agree,neutral
"Regarding Animal Rights, it is proposed that communities are encouraged to take grassroots actions.",Agent1,Agent3,neutral,agree,neutral
"Regarding Animal Rights, it is proposed that communities are encouraged to take grassroots actions.",Agent2,Agent1,agree,neutral,neutral
"Regarding Animal Rights, it is proposed that communities are encouraged to take grassroots actions.",Agent2,Agent3,agree,agree,defended
"Regarding Animal Rights, it is proposed that communities are encouraged to take grassroots actions.",Agent3,Agent1,agree,neutral,neutral
"Regarding Animal Rights, it is proposed that communities are encouraged to take grassroots actions.",Agent3,Agent2,agree,agree,defended
A new rule in Healthcare Accessibility suggests that international cooperation is mandatory for success.,Agent1,Agent2,agree,disagree,attack
A new rule in Healthcare Accessibility suggests that international cooperation is mandatory for success.,Agent1,Agent3,agree,agree,defended
A new rule in Healthcare Accessibility suggests that international cooperation is mandatory for success.,Agent2,Agent1,disagree,agree,attack
